"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/Users/gabriel/Documents/dev/application/lib/address.json", "JSON", 0, 116, 0, 0, 116
"/Users/gabriel/Documents/dev/application/lib/bifrost/core/endpoints.dart", "Dart", 78, 0, 0, 30, 108
"/Users/gabriel/Documents/dev/application/lib/bifrost/core/models/place.dart", "Dart", 69, 0, 0, 13, 82
"/Users/gabriel/Documents/dev/application/lib/bifrost/core/models/route.dart", "Dart", 222, 0, 0, 47, 269
"/Users/gabriel/Documents/dev/application/lib/bifrost/mantle/labels.dart", "Dart", 44, 0, 0, 15, 59
"/Users/gabriel/Documents/dev/application/lib/bifrost/mantle/models/account.dart", "Dart", 150, 0, 0, 23, 173
"/Users/gabriel/Documents/dev/application/lib/bifrost/mantle/onboarding.dart", "Dart", 40, 0, 0, 11, 51
"/Users/gabriel/Documents/dev/application/lib/bifrost/mantle/payment_methods.dart", "Dart", 12, 0, 0, 5, 17
"/Users/gabriel/Documents/dev/application/lib/bifrost/mantle/trips.dart", "Dart", 20, 0, 0, 8, 28
"/Users/gabriel/Documents/dev/application/lib/bifrost/mercury/models/ticket.dart", "Dart", 59, 0, 0, 7, 66
"/Users/gabriel/Documents/dev/application/lib/bifrost/mercury/models/ticket_type.dart", "Dart", 26, 0, 0, 4, 30
"/Users/gabriel/Documents/dev/application/lib/bifrost/mercury/purchase.dart", "Dart", 59, 0, 0, 15, 74
"/Users/gabriel/Documents/dev/application/lib/bifrost/mercury/tickets.dart", "Dart", 39, 0, 0, 13, 52
"/Users/gabriel/Documents/dev/application/lib/bifrost/url.dart", "Dart", 21, 0, 0, 6, 27
"/Users/gabriel/Documents/dev/application/lib/components/active_train_ticket.dart", "Dart", 176, 0, 0, 4, 180
"/Users/gabriel/Documents/dev/application/lib/components/alert_box.dart", "Dart", 147, 0, 1, 2, 150
"/Users/gabriel/Documents/dev/application/lib/components/buy_ticket_prompt.dart", "Dart", 59, 0, 0, 4, 63
"/Users/gabriel/Documents/dev/application/lib/components/eta_element.dart", "Dart", 48, 0, 0, 3, 51
"/Users/gabriel/Documents/dev/application/lib/components/line_card.dart", "Dart", 65, 0, 0, 3, 68
"/Users/gabriel/Documents/dev/application/lib/components/line_shorthand.dart", "Dart", 36, 0, 0, 3, 39
"/Users/gabriel/Documents/dev/application/lib/components/modals/add_to_cart.dart", "Dart", 234, 0, 0, 11, 245
"/Users/gabriel/Documents/dev/application/lib/components/modals/buy_pass.dart", "Dart", 227, 0, 4, 10, 241
"/Users/gabriel/Documents/dev/application/lib/components/modals/departures_modal.dart", "Dart", 225, 0, 1, 3, 229
"/Users/gabriel/Documents/dev/application/lib/components/modals/directions_modal.dart", "Dart", 119, 0, 0, 3, 122
"/Users/gabriel/Documents/dev/application/lib/components/modals/label_modal.dart", "Dart", 154, 0, 1, 6, 161
"/Users/gabriel/Documents/dev/application/lib/components/modals/loading.dart", "Dart", 25, 0, 0, 3, 28
"/Users/gabriel/Documents/dev/application/lib/components/modals/main_modal.dart", "Dart", 186, 0, 21, 9, 216
"/Users/gabriel/Documents/dev/application/lib/components/modals/nearby_stations_modal.dart", "Dart", 161, 0, 1, 3, 165
"/Users/gabriel/Documents/dev/application/lib/components/modals/profile_modal.dart", "Dart", 188, 0, 1, 4, 193
"/Users/gabriel/Documents/dev/application/lib/components/modals/route_preview_modal.dart", "Dart", 246, 0, 2, 13, 261
"/Users/gabriel/Documents/dev/application/lib/components/modals/route_test.dart", "Dart", 125, 0, 0, 3, 128
"/Users/gabriel/Documents/dev/application/lib/components/modals/search_modal.dart", "Dart", 160, 0, 1, 6, 167
"/Users/gabriel/Documents/dev/application/lib/components/modals/ticket_details_modal.dart", "Dart", 174, 0, 7, 7, 188
